Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPHS996777,SMALL APPLIANCES,"Chefman 1.8L Lightning Borosilicate Glass Electric Kettle: Stainless Steel Lid, 1750W, Hand Wash, Silver & Black Accents",4,44.99,179.96,Chefman,810087848552,91992759,China,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,ELECTRIC KETTLES,irc_small_appliances___floor_care-01_20260417_031_p
LPJY926090,SMALL APPLIANCES,Disney Dash 2pk Moana & Pua Removable Plate for the MultiMaker Mini Maker System (Please be advised that sets may be missing pieces or otherwise incomplete.),19,9.74,185.06,Dash,810137395418,94620249,China,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,WAFFLE MAKER,irc_small_appliances___floor_care-01_20260417_031_p
LPHS788982,SMALL APPLIANCES,"Mr. Coffee 5 Cup Switch Coffee Maker Black: Small Drip Coffee Machine, Electric, Paper Filter, 25 oz Capacity",2,21.99,43.98,Mr. Coffee,053891177313,91986267,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,DRIP COFFEE MAKER,irc_small_appliances___floor_care-01_20260417_031_p
LPHS615020,SMALL APPLIANCES,"GE Appliances XWFE Replacement Refrigerator Water Filter: Filters Pharmaceuticals, Atrazine, Mercury, Lead, Pesticides",1,54.99,54.99,GE Appliances,084691851615,92678964,Mexico,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,FRIDGE FILTERS,irc_small_appliances___floor_care-01_20260417_031_p
LPHS638294,SMALL APPLIANCES,"bella 2-Slice Slim Toaster Plum: Metal, 900W, 2-Year Warranty, Spot Clean, 6.85"" H, 3.58"" D, 14.88"" W, 1.98 lbs",2,24.99,49.98,bella Housewares,829486351648,93491179,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,2 SLICE TOASTER,irc_small_appliances___floor_care-01_20260417_031_p
LPHS638447,SMALL APPLIANCES,"Keurig Non-Rolling 24ct Coffee Pod Storage Drawer: Black Metal K-Cup Organizer, Freestanding Kitchen Rack (Please be advised that sets may be missing pieces or otherwise incomplete.)",1,26.99,26.99,Keurig,611247369654,53205905,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,SGL SERVE ACCESSOR,irc_small_appliances___floor_care-01_20260417_031_p
LPHS626276,SMALL APPLIANCES,Cuisinart 2.5oz Electric Coffee Grinder Black DCG-20BKN,1,24.99,24.99,Cuisinart,086279102720,82568681,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,COFFEE GRINDER,irc_small_appliances___floor_care-01_20260417_031_p
LPJY957372,SMALL APPLIANCES,"Culligan CUW5 Replacement Whirlpool (EDR5RXD1) Refrigerator Water Filter 5: Filters Lead, Mercury, Chlorine, VOCs",1,23.99,23.99,Culligan,850031536043,92447861,Mexico,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,FRIDGE FILTERS,irc_small_appliances___floor_care-01_20260417_031_p
LPHS243079,SMALL APPLIANCES,"Keurig My K-Cup 3.0 Reusable Coffee Filter, Eco-friendly Gray",2,9.99,19.98,Keurig,611247405246,94721510,Indonesia,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,SGL SERVE ACCESSOR,irc_small_appliances___floor_care-01_20260417_031_p
LPJY713957,SMALL APPLIANCES,"Dash 3-in-1 Everyday 7-Egg Cooker with Omelet Maker and Poaching - Black: Electric Egg Boiler, Hard Boiled & Poaching",3,19.99,59.97,Dash,856007008286,53731036,China,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,EGG COOKER,irc_small_appliances___floor_care-01_20260417_031_p
LPHS250550,FLOORCARE,BISSELL Multi-Surface 34451 with Febreze Original Gain Formula Navy Blue,1,18.99,18.99,BISSELL,011120267679,90571415,United States of America,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,329,OUTDOOR LIVING & ORGANIZED SPACES,LAUNDRY CLEANING AND CLOSET,N,PTBJ26196,CLEANER/SHAMPOO,irc_small_appliances___floor_care-01_20260417_031_p
LPHS546078,SMALL APPLIANCES,Dash MultiMaker Mini Waffle Maker System with 6 Removeable Holiday Plates,1,21.99,21.99,Dash,810137391625,91134596,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,WAFFLE MAKER,irc_small_appliances___floor_care-01_20260417_031_p
LPHS635416,SMALL APPLIANCES,Bodum Schiuma Milk Frother - Red,2,9.99,19.98,Bodum,699965646837,94818076,China,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,FROTHER,irc_small_appliances___floor_care-01_20260417_031_p
