Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPHR090298,BICYCLES-PHYSICAL FITNESS,Gaiam Studio Select Resistance Tube - Light Blue,2,12.99,25.98,Gaiam,018713665256,94413597,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,STRENGTH TRAINING,irc_bicycles_physical_fitness_20260417_253_p
LPHR013259,BICYCLES-PHYSICAL FITNESS,Gaiam Studio Select Resistance Tube - Heavy - Gray,2,12.99,25.98,Gaiam,018713665270,94413599,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16634,STRENGTH TRAINING,irc_bicycles_physical_fitness_20260417_253_p
LPHR056235,BICYCLES-PHYSICAL FITNESS,"36"" Foam Roller - Beige - All In Motion: EPE Material, Whole Body Use",1,25.00,25.00,All In Motion,198420041502,90364293,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HEALTH AND BEAUTY,B,PTBB58533,MUSCLE THERAPY,irc_bicycles_physical_fitness_20260417_253_p
LPHR348494,BICYCLES-PHYSICAL FITNESS,"2pk Adjustable Trekking Poles Black - All In Motion: Aluminum, Rubber Handles (Please be advised that sets may be missing pieces or otherwise incomplete.)",1,25.00,25.00,All In Motion,054003866941,88001435,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,B,PTBB58825,WALK/RUN,irc_bicycles_physical_fitness_20260417_253_p
LPJY984461,BICYCLES-PHYSICAL FITNESS,"Cloud Print Yoga Mat 5mm Violet - All In Motion: PVC Material, Low Tack Grip",1,25.00,25.00,All In Motion,191802000821,82721436,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,B,PTBI20887,YOGA,irc_bicycles_physical_fitness_20260417_253_p
LPHS762427,BICYCLES-PHYSICAL FITNESS,Raskullz Astro Cat Toddler Helmet Pink,1,24.99,24.99,Raskullz,847268008153,16629089,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,TODDLER HELMETS,irc_bicycles_physical_fitness_20260417_253_p
LPHR061972,BICYCLES-PHYSICAL FITNESS,Schwinn Bike Seat Pack with Repair Tools - Black,1,24.99,24.99,Schwinn,038675238480,80594781,United States of America,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,REPAIR,irc_bicycles_physical_fitness_20260417_253_p
LPHR337056,BICYCLES-PHYSICAL FITNESS,Owala 16oz Kids' FreeSip Stainless Steel Water Bottle - Periwinkle Twinkle,1,24.99,24.99,Owala,847280095711,92383253,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHR316502,BICYCLES-PHYSICAL FITNESS,Spider-Man Classic Toddler Helmet,1,24.99,24.99,Bell,035011978659,83814547,United States of America,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16634,TODDLER HELMETS,irc_bicycles_physical_fitness_20260417_253_p
LPHS997821,BICYCLES-PHYSICAL FITNESS,Owala 16oz Kids' FreeSip Stainless Steel Water Bottle - Misty Meadow,1,24.99,24.99,Owala,847280095728,92383288,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
