row_id,row_number,description,title,brand,model,category,condition,sku,upc,quantity,retail_value,notes,base_cost,ideal_price
2000,76,"Kaffe Frothing Pitcher Dark Brushed Stainless Steel: Milk Frothing Pitcher, Coffee & Espresso Accessories, Stainless Steel Finish",,Kaffe,,MIXED_SMALL_APPLIANCES,NEW,,860010435199,1,13.69,SMALL APPLIANCES | ONLINE ONLY | SMALL APPLIANCES & FLOOR CARE-01,4.05,8.10
2001,77,Disney Dash MultiMaker Mini Waffle Maker Toy Story,,Dash; StoreBound,,MIXED_SMALL_APPLIANCES,USED_GOOD,,810137397429,1,12.99,SMALL APPLIANCES | WAFFLE MAKER | SMALL APPLIANCES & FLOOR CARE-01,3.84,7.68
2002,78,Cuisinart 2.5oz Electric Coffee Grinder Black DCG-20BKN,,Cuisinart,,MIXED_SMALL_APPLIANCES,USED_GOOD,,086279102720,1,24.99,SMALL APPLIANCES | COFFEE GRINDER | SMALL APPLIANCES & FLOOR CARE-01,7.39,14.78
2003,79,"Dash 2-Cup Electric Mini Rice Cooker - Graphite: Small Rice Maker, Automatic Keep Warm, Includes Recipes & Accessories",,Dash,,MIXED_SMALL_APPLIANCES,NEW,,850000706309,1,24.99,SMALL APPLIANCES | RICE COOKER | SMALL APPLIANCES & FLOOR CARE-01,7.39,14.78
2004,80,"Culligan CUL800 Replacement LG (LT800P) Refrigerator Water Filter: Filters Odors, Pharmaceuticals, Lead, Chlorine, VOCs",,Culligan,,MIXED_SMALL_APPLIANCES,NEW,,850031536166,1,24.99,SMALL APPLIANCES | FRIDGE FILTERS | SMALL APPLIANCES & FLOOR CARE-01,7.39,14.78
2005,81,"bella 2-Slice Slim Toaster Surf: Metal, 900W, 2-Year Warranty, Spot Clean, 6.85"" H, 3.58"" D, 14.88"" W, 1.98 lbs, Blue",,bella Housewares,,MIXED_SMALL_APPLIANCES,USED_GOOD,,829486351631,1,24.99,SMALL APPLIANCES | 2 SLICE TOASTER | SMALL APPLIANCES & FLOOR CARE-01,7.39,14.78
2006,82,Dash 20oz Hot2Go Heated Lunch Box Blue,,Dash,,MIXED_SMALL_APPLIANCES,NEW,,810137394961,1,24.99,SMALL APPLIANCES | SLOW COOKER | SMALL APPLIANCES & FLOOR CARE-01,7.39,14.78
2007,83,"Culligan CUSCIN Replacement Samsung (HAF-CIN) Refrigerator Water Filter: Filters Odors, Lead, Chlorine, VOCs, Microplastics",,Culligan,,MIXED_SMALL_APPLIANCES,NEW,,850031536029,1,22.49,SMALL APPLIANCES | FRIDGE FILTERS | SMALL APPLIANCES & FLOOR CARE-01,6.65,13.30
2008,84,Dash MultiMaker Mini Waffle Maker System with 6 Removeable Holiday Plates,,Dash,,MIXED_SMALL_APPLIANCES,USED_GOOD,,810137391625,1,21.99,SMALL APPLIANCES | WAFFLE MAKER | SMALL APPLIANCES & FLOOR CARE-01,6.50,13.00
2009,85,"Aroma 4 Cup Pot Style Rice Cooker White: Nonstick, Stay-Cool Handles, 1 Setting, 250W, Includes Glass Lid & Manual",,Aroma,,MIXED_SMALL_APPLIANCES,NEW,,021241003025,1,20.99,SMALL APPLIANCES | RICE COOKER | SMALL APPLIANCES & FLOOR CARE-01,6.21,12.42
