row_id,row_number,description,title,brand,model,category,condition,sku,upc,quantity,retail_value,notes,base_cost,ideal_price
1799,863,Owala 24oz FreeSip Stainless Steel Water Bottle - Tangy Tango,,Owala,,OUTDOOR_SPORTS,SALVAGE,,847280085361,1,29.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,6.63,13.26
1800,864,Owala 20oz Stainless Steel SmoothSip Travel Mug - Golden Quest,,Owala,,OUTDOOR_SPORTS,LIKE_NEW,,847280094011,1,29.99,BICYCLES-PHYSICAL FITNESS | WARM BEV | BICYCLES PHYSICAL FITNESS,6.63,13.26
1801,865,Owala 24oz FreeSip TWIST Stainless Steel Water Bottle - Kickflip,,Owala,,OUTDOOR_SPORTS,USED_GOOD,,847280095940,1,29.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,6.63,13.26
1802,866,Owala 24oz FreeSip Stainless Steel Water Bottle  - Misty Meadow,,Owala,,OUTDOOR_SPORTS,SALVAGE,,847280095742,1,29.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,6.63,13.26
1803,867,Owala 24oz FreeSip Stainless Steel Water Bottle - Hearth & Hand with Magnolia - Fruit Tart,,Owala; Hearth & Hand with Magnolia,,OUTDOOR_SPORTS,NEW,,847280097302,1,29.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,6.63,13.26
1804,868,Owala 24oz Stainless Steel FreeSip Twist Water Bottle - Shocking Grape,,Owala,,OUTDOOR_SPORTS,USED_GOOD,,840467303234,1,29.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,6.63,13.26
1805,869,Owala 24oz Stainless Steel FreeSip Twist Water Bottle - Bubblegum Burst,,Owala,,OUTDOOR_SPORTS,USED_GOOD,,840467303746,1,29.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,6.63,13.26
1806,870,Owala 24oz FreeSip Hearth & Hand with Magnolia - Sunflower Bouquet,,Hearth & Hand with Magnolia; Owala,,OUTDOOR_SPORTS,USED_GOOD,,840467305016,1,29.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,6.63,13.26
1807,871,Owala 24oz Stainless Steel FreeSip Water Bottle - Out of the Blue,,Owala,,OUTDOOR_SPORTS,SALVAGE,,840467308369,1,29.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,6.63,13.26
1808,872,"McDavid Sport Compression Knit Ankle Sleeve with Gel Buttress - (S /M): Joint Support, Nylon & Spandex, Age 16+",,McDavid,,OUTDOOR_SPORTS,NEW,,029369148260,2,14.99,BICYCLES-PHYSICAL FITNESS | MUSCLE THERAPY | BICYCLES PHYSICAL FITNESS,3.31,6.62
1809,873,Bell Frenzy Youth Bike Helmet - Pink/Mint,,Bell,,OUTDOOR_SPORTS,USED_GOOD,,199270070216,1,27.99,BICYCLES-PHYSICAL FITNESS | YOUTH HELMETS | BICYCLES PHYSICAL FITNESS,6.19,12.38
1810,874,"TriggerPoint NANO Foot Roller - Orange: EVA Foam, Whole Body Therapy",,TriggerPoint,,OUTDOOR_SPORTS,USED_GOOD,,858787002973,1,26.99,BICYCLES-PHYSICAL FITNESS | MUSCLE THERAPY | BICYCLES PHYSICAL FITNESS,5.96,11.92
1811,875,"24oz Stainless Steel Hydration Water Bottle - Purple - Embark: Portable Drinkware, Polypropylene Lid",,Embark,,OUTDOOR_SPORTS,USED_GOOD,,198420113490,2,13.00,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,2.87,5.74
1812,876,Schwinn Cyclone Plus Bike Pump - White,,Schwinn,,OUTDOOR_SPORTS,USED_GOOD,,038675121447,1,25.99,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,5.74,11.48
1813,877,"McDavid 9-10"" Sport Ankle Sleeve with Wrap Support - L/XL: Muscle Pain Relief, Joint Brace",,McDavid,,OUTDOOR_SPORTS,USED_GOOD,,029369153783,2,12.99,BICYCLES-PHYSICAL FITNESS | MUSCLE THERAPY | BICYCLES PHYSICAL FITNESS,2.87,5.74
1814,878,"Brightz Ride LED - Star: ABS Bike Lights, Handlebar & Seat Post Mount, 11-Hour Battery",,Brightz,,OUTDOOR_SPORTS,USED_GOOD,,811860032892,1,25.49,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,5.63,11.26
1815,879,Spider-Man Classic Toddler Helmet,,Bell,,OUTDOOR_SPORTS,NEW,,035011978659,1,24.99,BICYCLES-PHYSICAL FITNESS | TODDLER HELMETS | BICYCLES PHYSICAL FITNESS,5.52,11.04
1816,880,Owala 16oz Kids' FreeSip Stainless Steel Water Bottle - Very Very Dark,,Owala,,OUTDOOR_SPORTS,NEW,,847280080533,1,24.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,5.52,11.04
1817,881,Owala 16oz Kids' FreeSip Stainless Steel Water Bottle - Periwinkle Twinkle,,Owala,,OUTDOOR_SPORTS,USED_GOOD,,847280095711,1,24.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,5.52,11.04
1818,882,Mickey Mouse Cycling Infant Bike Helmet,,Mickey Mouse,,OUTDOOR_SPORTS,NEW,,035011994284,1,24.99,BICYCLES-PHYSICAL FITNESS | TODDLER HELMETS | BICYCLES PHYSICAL FITNESS,5.52,11.04
1819,883,Schwinn Classic Waves Toddler Helmet – Blue/Green,,Schwinn,,OUTDOOR_SPORTS,USED_GOOD,,038675290730,1,24.99,BICYCLES-PHYSICAL FITNESS | TODDLER HELMETS | BICYCLES PHYSICAL FITNESS,5.52,11.04
1820,884,"Tommie Copper Sport Compression Knee High Socks 2pk - S/M: Leg Support, Microfiber, Adult (Please be advised that sets may be missing pieces or otherwise incomplete.)",,Tommie Copper,,OUTDOOR_SPORTS,USED_GOOD,,018713631817,2,12.29,BICYCLES-PHYSICAL FITNESS | MUSCLE THERAPY | BICYCLES PHYSICAL FITNESS,2.72,5.44
1821,885,"Dumbbell 15lbs Blue - All In Motion: PVC Coated, Iron Core, Total Body Workout",,All In Motion,,OUTDOOR_SPORTS,USED_GOOD,,018713638281,1,24.00,BICYCLES-PHYSICAL FITNESS | STRENGTH TRAINING | BICYCLES PHYSICAL FITNESS,5.30,10.60
1822,886,"Dumbbell 5lbs Aqua - All In Motion: PVC Coated, Iron Filled, Arm Workout",,All In Motion,,OUTDOOR_SPORTS,USED_GOOD,,018713638236,2,12.00,BICYCLES-PHYSICAL FITNESS | STRENGTH TRAINING | BICYCLES PHYSICAL FITNESS,2.65,5.30
1823,887,"Hydro Flask 32oz All Around Travel Straw Tumbler - Black: Double-Wall, BPA-Free, Spillproof",,Hydro Flask,,OUTDOOR_SPORTS,NEW,,840394216973,1,23.99,BICYCLES-PHYSICAL FITNESS | TUMBLER | BICYCLES PHYSICAL FITNESS,5.30,10.60
1824,888,"Tommie 10-14"" Copper Sport Compression Calf Sleeve - S/M: Leg Support, Polyester Material",,Tommie Copper,,OUTDOOR_SPORTS,USED_GOOD,,018713635877,2,11.89,BICYCLES-PHYSICAL FITNESS | MUSCLE THERAPY | BICYCLES PHYSICAL FITNESS,2.63,5.26
1825,889,Bell Richter Cycling Kids' Bike Helmet - Black/Blue,,Bell,,OUTDOOR_SPORTS,NEW,,035011978130,1,22.99,BICYCLES-PHYSICAL FITNESS | YOUTH HELMETS | BICYCLES PHYSICAL FITNESS,5.08,10.16
1826,890,"Hydro Flask 32oz Wide Mouth Flex Straw Travel Bottle - Trillium: BPA-Free, Vacuum-Insulated",,Hydro Flask,,OUTDOOR_SPORTS,USED_GOOD,,840394202952,1,21.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,4.86,9.72
1827,891,Helimix 28oz Shaker Water Bottle - White,,Helimix,,OUTDOOR_SPORTS,NEW,,852519008127,1,21.99,BICYCLES-PHYSICAL FITNESS | MIXER | BICYCLES PHYSICAL FITNESS,4.86,9.72
1828,892,Soft Kettlebell 5lb Cream - All In Motion,,All In Motion,,OUTDOOR_SPORTS,USED_GOOD,,191802002030,1,21.00,BICYCLES-PHYSICAL FITNESS | STRENGTH TRAINING | BICYCLES PHYSICAL FITNESS,4.64,9.28
1829,893,"Blackburn 26"" Comfort Bike Tire - Black",,Blackburn,,OUTDOOR_SPORTS,NEW,,035011995397,1,20.99,BICYCLES-PHYSICAL FITNESS | TIRES | BICYCLES PHYSICAL FITNESS,4.64,9.28
1830,894,"Blogilates Sweat Resistant Hat - Black: Moisture Wicking, Quick Drying, Ponytail Opening",,Blogilates,,OUTDOOR_SPORTS,USED_GOOD,,850028476710,1,20.99,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,4.64,9.28
1831,895,20oz Stainless Steel Straw Tumbler - Black - Embark‚Ñ¢,,Embark,,OUTDOOR_SPORTS,USED_GOOD,,198420113612,2,10.00,BICYCLES-PHYSICAL FITNESS | TUMBLER | BICYCLES PHYSICAL FITNESS,2.21,4.42
1832,896,Yoga Hand Towel Blue - All In Motion: Polyester Sports Accessory,,All In Motion,,OUTDOOR_SPORTS,NEW,,191907491623,1,20.00,BICYCLES-PHYSICAL FITNESS | YOGA | BICYCLES PHYSICAL FITNESS,4.42,8.84
1833,897,"Weighted Stability Exercise Ball - Red 65cm - All In Motion: PVC, 300lb Capacity",,All In Motion,,OUTDOOR_SPORTS,USED_GOOD,,191802001842,1,20.00,BICYCLES-PHYSICAL FITNESS | STRENGTH TRAINING | BICYCLES PHYSICAL FITNESS,4.42,8.84
1834,898,"Belt Fanny Pack Blush - All In Motion: Adjustable Strap, Solid Pattern",,All In Motion,,OUTDOOR_SPORTS,NEW,,198420122980,1,20.00,BICYCLES-PHYSICAL FITNESS | BAGS | BICYCLES PHYSICAL FITNESS,4.42,8.84
1835,899,"Kryptonite Combination U-Lock - Black: Secure Bike Lock, U-Locks Type",,Kryptonite,,OUTDOOR_SPORTS,NEW,,720018005292,1,19.99,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,4.42,8.84
1836,900,"Blackburn 27.5"" Mountain Bike Tire - Black",,Blackburn,,OUTDOOR_SPORTS,NEW,,035011995380,1,19.99,BICYCLES-PHYSICAL FITNESS | TIRES | BICYCLES PHYSICAL FITNESS,4.42,8.84
1837,901,"Blogilates 64oz Half Gallon Plastic Water Bottle - Blue Ombre: BPA-Free PETG, Portable Drinkware",,Blogilates,,OUTDOOR_SPORTS,USED_GOOD,,850028476734,1,19.99,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,4.42,8.84
1838,902,"Blackburn 27.5"" Mountain Bike Tire - Black",,Blackburn,,OUTDOOR_SPORTS,USED_GOOD,,035011995380,1,19.99,BICYCLES-PHYSICAL FITNESS | TIRES | BICYCLES PHYSICAL FITNESS,4.42,8.84
1839,903,Fabric Round Hip Band Set - All In Motion: Polyester Rubber Resistance Bands (Please be advised that sets may be missing pieces or otherwise incomplete.),,All In Motion,,OUTDOOR_SPORTS,USED_GOOD,,191802001811,1,18.00,BICYCLES-PHYSICAL FITNESS | STRENGTH TRAINING | BICYCLES PHYSICAL FITNESS,3.98,7.96
1840,904,Blogilates Water Bottle Sling - Cream Floral,,Blogilates,,OUTDOOR_SPORTS,USED_GOOD,,850052976705,1,17.99,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,3.98,7.96
1841,905,Brightz Bike Noisemaker - Beige: Universal ABS Accessory,,Brightz,,OUTDOOR_SPORTS,NEW,,811860035404,3,5.84,BICYCLES-PHYSICAL FITNESS | BIKE ACCESSORIES | BICYCLES PHYSICAL FITNESS,1.29,2.58
1842,906,"Master Lock 7.25"" U Lock with Looped End Cable: Bike Security",,Master Lock,,OUTDOOR_SPORTS,NEW,,071649283321,1,17.49,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,3.87,7.74
1843,907,Blogilates 19oz Glass Protein Shaker Bottle with Silicone Sleeve - Blue,,Blogilates,,OUTDOOR_SPORTS,NEW,,850052976606,1,16.99,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,3.75,7.50
1844,908,Stability Exercise Ball Gray 75cm - All In Motion,,All In Motion,,OUTDOOR_SPORTS,USED_GOOD,,191802002085,1,16.00,BICYCLES-PHYSICAL FITNESS | STRENGTH TRAINING | BICYCLES PHYSICAL FITNESS,3.54,7.08
1845,909,BlenderBottle 24oz Strada Tritan Shaker Bottle - Green: Leakproof Shaker,,BlenderBottle,,OUTDOOR_SPORTS,NEW,,847280092604,1,15.99,BICYCLES-PHYSICAL FITNESS | MIXER | BICYCLES PHYSICAL FITNESS,3.53,7.06
1846,910,"Gatorade 12oz Stainless Steel Water Bottle - Yellow: Portable Drinkware, Plastic Lid",,Gatorade,,OUTDOOR_SPORTS,NEW,,052000056082,1,15.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,3.53,7.06
